Date_reported,Country,WHO_region,Cumulative_cases,Population,Cases per Capita
2020-01-12,Thailand,SEARO,0,70078203.0,0.0674529853455289
2020-01-12,Niger,AFRO,0,26083660.0,0.0003807364457288
2020-01-12,Cuba,AMRO,0,11305652.0,0.0983966249801426
2020-01-12,Botswana,AFRO,0,2441162.0,0.1348648717291191
2020-01-12,Bhutan,SEARO,0,787941.0,0.0794539185040504
2020-01-12,Fiji,WPRO,0,909466.0,0.0756707782368994
2020-01-12,Nauru,WPRO,0,10903.0,0.4238283041364762
2020-01-12,Tajikistan,EURO,0,9957464.0,0.001786197770838
2020-01-12,Belgium,EURO,0,11668278.0,0.402072953695481
2020-01-12,Namibia,AFRO,0,2633874.0,0.0648250447819447
2020-01-12,Trinidad and Tobago,AMRO,0,1406585.0,0.1335916421687989
2020-01-12,Eritrea,AFRO,0,3662244.0,0.0027821739894993
2020-01-12,Norway,EURO,0,5511370.0,0.2681467584284851
2020-01-12,Mongolia,WPRO,0,3378078.0,0.2983563434592096
2020-01-12,Oman,EMRO,0,5323993.0,0.0750280851233275
2020-01-12,Mozambique,AFRO,0,33089461.0,0.0070111145056125
2020-01-12,Belize,AMRO,0,412190.0,0.171425798782115
2020-01-12,Egypt,EMRO,0,106156692.0,0.0048573951418908
2020-01-12,Pakistan,EMRO,0,229488994.0,0.0068687956338333
2020-01-12,Monaco,EURO,1,39783.0,0.4035894728904305
2020-01-12,Yemen,EMRO,0,31154867.0,0.0003834071896374
2020-01-12,Bosnia and Herzegovina,EURO,0,3249317.0,0.1235287292683354
2020-01-12,Benin,AFRO,0,12784726.0,0.0021892530195797
2020-01-12,Ethiopia,AFRO,0,120812698.0,0.0041347557688017
2020-01-12,Myanmar,SEARO,0,55227143.0,0.0114766030898973
2020-01-12,Tuvalu,WPRO,0,12066.0,0.2324714072600696
2020-01-12,Zambia,AFRO,0,19470234.0,0.0175017413760923
2020-01-12,Nigeria,AFRO,0,216746934.0,0.0012293737912804
2020-01-12,Mauritius,AFRO,0,1274727.0,0.032675231637833
2020-01-12,Djibouti,EMRO,0,1016097.0,0.015441439153939
2020-01-12,El Salvador,AMRO,0,6550389.0,0.0308050407388019
2020-01-12,Montenegro,EURO,0,627950.0,0.4560156063380842
2020-01-12,Sweden,EURO,0,10218971.0,0.263574287469844
2020-01-12,Marshall Islands,WPRO,0,60057.0,0.2594868208535225
2020-01-12,Sri Lanka,SEARO,0,21575842.0,0.0311454357146293
2020-01-12,New Zealand,WPRO,0,4898203.0,0.4455419671254948
2020-01-12,Armenia,EURO,0,2971966.0,0.1500717033774949
2020-01-12,North Macedonia,EURO,0,2081304.0,0.1664475732521534
2020-01-12,Papua New Guinea,WPRO,0,9292169.0,0.0050311181382947
2020-01-12,Estonia,EURO,0,1321910.0,0.4643969710494663
2020-01-12,Antigua and Barbuda,AMRO,0,99509.0,0.0915093107156136
2020-01-12,Bermuda,AMRO,0,61939.0,0.3029755081612554
2020-01-12,Malta,EURO,0,444033.0,0.2636335587670286
2020-01-12,Bulgaria,EURO,0,6844597.0,0.1892625672482981
2020-01-12,Croatia,EURO,0,4059286.0,0.3122667385348063
2020-01-12,New Caledonia,WPRO,0,290915.0,0.2744616124984961
2020-01-12,Montserrat,AMRO,0,4965.0,0.2825780463242699
2020-01-12,Niue,WPRO,0,1622.0,0.4605425400739827
2020-01-12,France,EURO,0,65584518.0,0.6026469692130695
2020-01-12,Palau,WPRO,0,18233.0,0.3283058191191795
2020-01-12,Nepal,SEARO,0,30225582.0,0.0331210164952324
2020-01-12,Tunisia,EMRO,0,12046656.0,0.0954917281609103
2020-01-12,Finland,EURO,0,5554960.0,0.2625795685297464
2020-01-12,Mauritania,AFRO,0,4901981.0,0.012987606439111
2020-01-12,Czechia,EURO,0,10736784.0,0.427504083159352
2020-01-12,British Virgin Islands,AMRO,0,30596.0,0.2387567002222512
2020-01-12,Eswatini,AFRO,0,1184817.0,0.0625691562494461
2020-01-12,Argentina,AMRO,0,46010234.0,0.2181500533120522
2020-01-12,Nicaragua,AMRO,0,6779100.0,0.0027276482128896
2020-01-12,Panama,AMRO,0,4446964.0,0.2315514584781887
2020-01-12,Sudan,EMRO,0,45992020.0,0.001385936081955
2020-01-12,Albania,EURO,0,2866374.0,0.1165817859079101
2020-01-19,Bosnia and Herzegovina,EURO,0,3249317.0,0.1235287292683354
2020-01-19,Japan,WPRO,1,125584838.0,0.2594934429903074
2020-01-19,Tunisia,EMRO,0,12046656.0,0.0954917281609103
2020-01-19,Saint Lucia,AMRO,0,185113.0,0.160998957393592
2020-01-19,Jamaica,AMRO,0,2985094.0,0.0513910114723355
2020-01-19,Samoa,WPRO,0,202239.0,0.0795444993300006
2020-01-19,Jordan,EMRO,0,10300869.0,0.1695970505012732
2020-01-19,Niue,WPRO,0,1622.0,0.4605425400739827
2020-01-19,Morocco,EMRO,0,37772756.0,0.0336814184276095
2020-01-19,Mozambique,AFRO,0,33089461.0,0.0070111145056125
2020-01-19,Canada,AMRO,0,38388419.0,0.1185319978923852
